	D:\LaRoche Research\CoRE NSF Motion Primitives\Shoulder Exercise Models\Subject 18\Subject 18 Order 3L0001.c3d	D:\LaRoche Research\CoRE NSF Motion Primitives\Shoulder Exercise Models\Subject 18\Subject 18 Order 3L0001.c3d	D:\LaRoche Research\CoRE NSF Motion Primitives\Shoulder Exercise Models\Subject 18\Subject 18 Order 3L0001.c3d	D:\LaRoche Research\CoRE NSF Motion Primitives\Shoulder Exercise Models\Subject 18\Subject 18 Order 3L0001.c3d	D:\LaRoche Research\CoRE NSF Motion Primitives\Shoulder Exercise Models\Subject 18\Subject 18 Order 3L0001.c3d	D:\LaRoche Research\CoRE NSF Motion Primitives\Shoulder Exercise Models\Subject 18\Subject 18 Order 3L0001.c3d	D:\LaRoche Research\CoRE NSF Motion Primitives\Shoulder Exercise Models\Subject 18\Subject 18 Order 3L0001.c3d	D:\LaRoche Research\CoRE NSF Motion Primitives\Shoulder Exercise Models\Subject 18\Subject 18 Order 3L0001.c3d	D:\LaRoche Research\CoRE NSF Motion Primitives\Shoulder Exercise Models\Subject 18\Subject 18 Order 3L0001.c3d	D:\LaRoche Research\CoRE NSF Motion Primitives\Shoulder Exercise Models\Subject 18\Subject 18 Order 3L0001.c3d	D:\LaRoche Research\CoRE NSF Motion Primitives\Shoulder Exercise Models\Subject 18\Subject 18 Order 3L0001.c3d	D:\LaRoche Research\CoRE NSF Motion Primitives\Shoulder Exercise Models\Subject 18\Subject 18 Order 3L0001.c3d	D:\LaRoche Research\CoRE NSF Motion Primitives\Shoulder Exercise Models\Subject 18\Subject 18 Order 3L0001.c3d	D:\LaRoche Research\CoRE NSF Motion Primitives\Shoulder Exercise Models\Subject 18\Subject 18 Order 3L0001.c3d	D:\LaRoche Research\CoRE NSF Motion Primitives\Shoulder Exercise Models\Subject 18\Subject 18 Order 3L0001.c3d	D:\LaRoche Research\CoRE NSF Motion Primitives\Shoulder Exercise Models\Subject 18\Subject 18 Order 3L0001.c3d	D:\LaRoche Research\CoRE NSF Motion Primitives\Shoulder Exercise Models\Subject 18\Subject 18 Order 3L0001.c3d	D:\LaRoche Research\CoRE NSF Motion Primitives\Shoulder Exercise Models\Subject 18\Subject 18 Order 3L0001.c3d	D:\LaRoche Research\CoRE NSF Motion Primitives\Shoulder Exercise Models\Subject 18\Subject 18 Order 3L0001.c3d	D:\LaRoche Research\CoRE NSF Motion Primitives\Shoulder Exercise Models\Subject 18\Subject 18 Order 3L0001.c3d	D:\LaRoche Research\CoRE NSF Motion Primitives\Shoulder Exercise Models\Subject 18\Subject 18 Order 3L0001.c3d
	L_Shoulder_Angle	L_Shoulder_Angle	L_Shoulder_Angle	L_Elbow_Angle	L_Elbow_Angle	L_Elbow_Angle	L_Wrist_Angle	L_Wrist_Angle	L_Wrist_Angle	R_Shoulder Angle	R_Shoulder Angle	R_Shoulder Angle	R_Elbow Angle	R_Elbow Angle	R_Elbow Angle	R_Wrist Angle	R_Wrist Angle	R_Wrist Angle	Thorax_Angle	Thorax_Angle	Thorax_Angle
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1	-2.01185	13.98898	29.50554	6.08988	-20.08732	-165.95586	8.64394	0.86311	89.08578	-5.76589	-15.07719	-83.35648	-5.52484	15.57899	-142.79880	-3.25673	-5.69749	-89.52742	-7.82464	-0.52190	4.81125
2	-2.01415	13.99017	29.51566	6.09904	-20.08192	-165.92136	8.67024	0.85547	89.08565	-5.76765	-15.07248	-83.34467	-5.52133	15.57965	-142.81850	-3.22994	-5.70025	-89.52828	-7.81746	-0.52926	4.80591
3	-2.01656	13.99136	29.52565	6.10808	-20.07640	-165.88664	8.69621	0.84795	89.08551	-5.76959	-15.06763	-83.33245	-5.51772	15.57977	-142.83801	-3.20359	-5.70291	-89.52914	-7.80966	-0.53650	4.80021
4	-2.01911	13.99250	29.53533	6.11682	-20.07084	-165.85217	8.72127	0.84070	89.08539	-5.77173	-15.06271	-83.31996	-5.51405	15.57922	-142.85693	-3.17813	-5.70543	-89.52999	-7.80124	-0.54345	4.79416
5	-2.02181	13.99360	29.54461	6.12511	-20.06530	-165.81841	8.74490	0.83387	89.08527	-5.77410	-15.05778	-83.30733	-5.51038	15.57787	-142.87489	-3.15403	-5.70776	-89.53082	-7.79222	-0.54997	4.78771
6	-2.02471	13.99467	29.55346	6.13285	-20.05983	-165.78574	8.76679	0.82753	89.08516	-5.77667	-15.05284	-83.29456	-5.50673	15.57565	-142.89168	-3.13167	-5.70989	-89.53159	-7.78260	-0.55603	4.78080
7	-2.02785	13.99576	29.56195	6.13995	-20.05444	-165.75447	8.78675	0.82176	89.08504	-5.77940	-15.04787	-83.28162	-5.50313	15.57255	-142.90718	-3.11130	-5.71181	-89.53234	-7.77239	-0.56164	4.77336
